SIC_Section,SIC_Codes,id,name,pointx_class,classname,postcode,M,IC,PST,AER,lon,lat
Information and Communication,5814,5630,Travel Weekly Group,7420599,Published Goods,SW1W 0AU,0,1,0,0,-0.145746242,51.49581413
Information and Communication,5814,5649,S A G A Magazine,7420599,Published Goods,SW1E 6PD,0,1,0,0,-0.138313308,51.49932935
Information and Communication,5814,5653,Harper's Bazaar,7420599,Published Goods,SW1Y 4AJ,0,1,0,0,-0.13097915,51.50994528
Information and Communication,5814,5658,Hearst Magazines UK,7420599,Published Goods,SW1Y 4AJ,0,1,0,0,-0.13097915,51.50994528
Information and Communication,5814,5665,Literary Review,7420599,Published Goods,W1F 0LW,0,1,0,0,-0.136196205,51.51308126
Information and Communication,5814,5666,Future Plc,7420599,Published Goods,W2 1QY,0,1,0,0,-0.173110267,51.51655761
Information and Communication,5814,5672,Art Monthly,7420599,Published Goods,SW1Y 5AH,0,1,0,0,-0.130921548,51.50638782
Information and Communication,5814,5673,New Statesman,7420599,Published Goods,WC2R 3AA,0,1,0,0,-0.112848727,51.51238419
Information and Communication,5814,5674,Communications International Group Ltd,7420599,Published Goods,W1B 5TB,0,1,0,0,-0.139105917,51.51205735
Information and Communication,5814,5675,Travel Bulletin Magazine,7420599,Published Goods,SW1W 0EX,0,1,0,0,-0.14572397,51.49810238
Information and Communication,5814,5678,10 Magazine,7420599,Published Goods,W1F 9DX,0,1,0,0,-0.136969294,51.51108821
Information and Communication,5814,5679,Conde Nast Publications,7420599,Published Goods,W1S 1HA,0,1,0,0,-0.143087056,51.51338839
Information and Communication,5814,5682,Private Eye Magazine,7420599,Published Goods,W1D 3BN,0,1,0,0,-0.133707143,51.51474127
Information and Communication,5814,5854,The Week Ltd,7420599,Published Goods,W2 3RX,0,1,0,0,-0.186949973,51.51139487
Information and Communication,5814,5862,August Media,7420599,Published Goods,W1U 6AE,0,1,0,0,-0.156153524,51.51994323
Information and Communication,5814,6372,R C N I,7420599,Published Goods,W1G 0RN,0,1,0,0,-0.145920506,51.51601407
Information and Communication,5814,6479,Nikon Owner Magazine,7420599,Published Goods,SW1V 2LP,0,1,0,0,-0.139240487,51.49142165
Information and Communication,5814,7808,Centaur Media,7420599,Published Goods,W1T 3QP,0,1,0,0,-0.137330201,51.51637255
Information and Communication,5814,7902,Asian Affairs,7420599,Published Goods,W1K 5RG,0,1,0,0,-0.148741581,51.51422506
Information and Communication,5814,8629,Twenty 6 Magazine,7420599,Published Goods,W1W 8QR,0,1,0,0,-0.14077091,51.51650627
Information and Communication,5814,10038,Oxford Business Group,7420599,Published Goods,W1W 5BB,0,1,0,0,-0.142304698,51.52170755
Information and Communication,5814,10623,Tank Magazine,7420599,Published Goods,W1W 7NX,0,1,0,0,-0.14239862,51.51862012
Information and Communication,5814,10676,Mym-e Ltd,7420599,Published Goods,W1K 5SG,0,1,0,0,-0.147570897,51.51370209
Information and Communication,5814,10849,The Economist Group,7420599,Published Goods,WC2N 6HT,0,1,0,0,-0.122236535,51.50909073
Information and Communication,5814,11136,Citywealth,7420599,Published Goods,W1H 2JZ,0,1,0,0,-0.159353334,51.51958882
Information and Communication,5814,11360,International Securities Services,7420599,Published Goods,W1U 6EQ,0,1,0,0,-0.156139867,51.52099513
Information and Communication,5814,11592,Marketing Week,7420599,Published Goods,W1T 3QP,0,1,0,0,-0.137330201,51.51637255
Information and Communication,5814,11855,Taxbriefs,7420599,Published Goods,W1T 3QP,0,1,0,0,-0.137330201,51.51637255
Information and Communication,5814,12009,Pharmacy Magazine,7420599,Published Goods,W1B 5TB,0,1,0,0,-0.139105917,51.51205735
Information and Communication,5814,12085,Fact Mag,7420599,Published Goods,W1F 7BE,0,1,0,0,-0.138085742,51.51374974
Information and Communication,5814,12207,Rila Group,7420599,Published Goods,W1T 3EJ,0,1,0,0,-0.136009111,51.51766447
Information and Communication,5814,12253,E T F Strategy,7420599,Published Goods,WC2E 9AA,0,1,0,0,-0.125709711,51.51266776
Information and Communication,5814,12405,Worldwide Reinsurance,7420599,Published Goods,W1W 7RE,0,1,0,0,-0.139796786,51.51809329
Information and Communication,5814,12414,Vinyl Factory Publishing Ltd,7420599,Published Goods,W1F 7BE,0,1,0,0,-0.138046931,51.51364121
Information and Communication,5814,12525,Dazed Media,7420599,Published Goods,WC2R 3DA,0,1,0,0,-0.1142983,51.51183198
Information and Communication,5814,12552,Walking the West End Theatre's,7420599,Published Goods,W1D 6BA,0,1,0,0,-0.132925489,51.51200409
Information and Communication,5814,12790,Hearst Magazines UK,7420599,Published Goods,W1F 0DQ,0,1,0,0,-0.136157862,51.51331446
Information and Communication,5814,12917,Christianity Magazine,7420599,Published Goods,SW1P 4NP,0,1,0,0,-0.133506997,51.49178016
Information and Communication,5814,13563,First Strategic Insight Ltd,7420599,Published Goods,W1B 4EZ,0,1,0,0,-0.137951963,51.50996177
Information and Communication,5814,13598,Iconic Media Solutions,7420599,Published Goods,W1D 5NF,0,1,0,0,-0.130215493,51.5134267
Information and Communication,5814,13806,High Rose House,7420599,Published Goods,W9 3BJ,0,1,0,0,-0.204835573,51.53189394
Information and Communication,5814,13899,Phoenix,7420599,Published Goods,W1U 8JJ,0,1,0,0,-0.158435695,51.5183964
Information and Communication,5814,14189,Vivo Magazine,7420599,Published Goods,W1S 1RR,0,1,0,0,-0.145865513,51.51381903
Information and Communication,5814,14301,Nexus Media Group,7420599,Published Goods,SW1Y 4RF,0,1,0,0,-0.132314399,51.50862217
Information and Communication,5814,14482,Think Publishing,7420599,Published Goods,W1T 3JW,0,1,0,0,-0.139096224,51.51830699
Information and Communication,5814,14785,Rila Publications,7420599,Published Goods,W1T 3EJ,0,1,0,0,-0.136009111,51.51766447
Information and Communication,5814,14896,Positive News Publishing,7420599,Published Goods,SW1P 1RD,0,1,0,0,-0.137559743,51.4944884
Information and Communication,5814,15921,B B Mag,7420599,Published Goods,W1T 3PJ,0,1,0,0,-0.1382022,51.51760937
Information and Communication,5814,16299,Creature Media Ltd,7420599,Published Goods,W1U 5JU,0,1,0,0,-0.152333235,51.52102516
Information and Communication,5814,16505,E U M W 2021,7420599,Published Goods,SW1V 4RW,0,1,0,0,-0.144151261,51.48897256
Information and Communication,5814,17867,Samedan Ltd,7420599,Published Goods,WC2E 7LN,0,1,0,0,-0.122472083,51.51107285
Information and Communication,5814,19387,Digimax,7420599,Published Goods,W1H 2JG,0,1,0,0,-0.159421735,51.51967982
Information and Communication,5819,2235,Reload Com Ltd,7420599,Published Goods,W2 1RH,0,1,0,0,-0.176075891,51.51520094
Information and Communication,5819,3602,The Wren Press Stationers Ltd,7420599,Published Goods,W1J 5HD,0,1,0,0,-0.145392461,51.50772362
Information and Communication,5819,3691,Mount Street Printers,7420599,Published Goods,W1K 3LW,0,1,0,0,-0.147875682,51.51045162
Information and Communication,5819,3900,H R Stokes,7420599,Published Goods,SW1W 9PP,0,1,0,0,-0.151164157,51.49365154
Information and Communication,5819,4580,First Colour Print Room,7420599,Published Goods,W1T 1PA,0,1,0,0,-0.135146613,51.51725509
Information and Communication,5819,5410,Snappy Snaps,7420599,Published Goods,NW8 7SE,0,1,0,0,-0.170987581,51.53392493
Information and Communication,5819,5605,Kall Kwik St James's London,7420599,Published Goods,SW1Y 5HZ,0,1,0,0,-0.137685441,51.50554221
Information and Communication,5819,5611,The Mayfair Printing Company,7420599,Published Goods,W1J 5PS,0,1,0,0,-0.147493006,51.50745107
Information and Communication,5819,5629,First Point Print,7420599,Published Goods,SW1V 2RA,0,1,0,0,-0.137586879,51.49276226
Information and Communication,5819,5635,Chinese Printing Ltd,7420599,Published Goods,W1D 5ES,0,1,0,0,-0.130472742,51.51242364
Information and Communication,5819,5636,Fastflow Instant Print Ltd,7420599,Published Goods,WC2N 4BJ,0,1,0,0,-0.12574759,51.51097237
Information and Communication,5819,5639,Coloursonic,7420599,Published Goods,W9 2AW,0,1,0,0,-0.197171748,51.52370121
Information and Communication,5819,5640,K W T Printing,7420599,Published Goods,WC2E 9NG,0,1,0,0,-0.122561007,51.51451842
Information and Communication,5819,5650,Ocean & Architectural Models Ltd,7420599,Published Goods,SW7 1EZ,0,1,0,0,-0.165381137,51.49907248
Information and Communication,5819,5651,Color Company,7420599,Published Goods,W1J 5HD,0,1,0,0,-0.145392461,51.50772362
Information and Communication,5819,5656,Edox Ltd,7420599,Published Goods,W2 5HX,0,1,0,0,-0.18862018,51.51651939
Information and Communication,5819,5659,Prontaprint Ltd,7420599,Published Goods,W1G 0EJ,0,1,0,0,-0.147481935,51.51589486
Information and Communication,5819,5667,Absolute Proof,7420599,Published Goods,SW1V 3AD,0,1,0,0,-0.142967226,51.4865618
Information and Communication,5819,5669,Kall Kwik Printing,7420599,Published Goods,W1W 7PL,0,1,0,0,-0.140841842,51.51862243
Information and Communication,5819,6390,B J U I,7420599,Published Goods,W2 1PN,0,1,0,0,-0.168892722,51.5178587
Information and Communication,5819,6523,Flying Colours,7420599,Published Goods,W1F 9QP,0,1,0,0,-0.136898635,51.51317335
Information and Communication,5819,6533,Shepherds Bookbinders,7420599,Published Goods,SW1P 1JU,0,1,0,0,-0.137154693,51.49417622
Information and Communication,5819,6847,Charing Cross Print,7420599,Published Goods,WC2N 4DW,0,1,0,0,-0.125639684,51.50938796
Information and Communication,5819,8660,Printing365,7420599,Published Goods,W1S 1DX,0,1,0,0,-0.145012117,51.51254658
Information and Communication,5819,9007,The Color Company,7420599,Published Goods,SW1H 0HW,0,1,0,0,-0.135223076,51.49738283
Information and Communication,5819,9099,Solutions in Ink,7420599,Published Goods,W1J 9HF,0,1,0,0,-0.135538003,51.50929394
Information and Communication,5819,9253,Press Holdings Media Group,7420599,Published Goods,SW1H 9HP,0,1,0,0,-0.130753765,51.50098063
Information and Communication,5819,10271,The Color Company,7420599,Published Goods,WC2R 0AA,0,1,0,0,-0.119769335,51.51094773
Information and Communication,5819,10881,Sticker Market,7420599,Published Goods,SW1Y 4JU,0,1,0,0,-0.135982119,51.50808701
Information and Communication,5819,10988,Glenleigh Associates,7420599,Published Goods,W1B 5TG,0,1,0,0,-0.139105917,51.51205735
Information and Communication,5819,12370,Wink Creative,7420599,Published Goods,W1U 4EG,0,1,0,0,-0.154678164,51.52003423
Information and Communication,5819,12730,Gerhard Commercial Ltd,7420599,Published Goods,SW1P 4AW,0,1,0,0,-0.132389113,51.49093504
Information and Communication,5819,13200,Scribbler London Rathbone Place,7420599,Published Goods,W1T 1JS,0,1,0,0,-0.133373308,51.51656143
Information and Communication,5819,14875,City Images,7420599,Published Goods,W1K 4AL,0,1,0,0,-0.145799553,51.512604
Information and Communication,5819,15175,The London Printers Ltd,7420599,Published Goods,W1W 6YT,0,1,0,0,-0.139245866,51.52064741
Information and Communication,5819,16717,Fast Print UK,7420599,Published Goods,WC2A 2JR,0,1,0,0,-0.111762534,51.51425514
Information and Communication,5819,17095,Westland Print Services Ltd,7420599,Published Goods,W1W 5PS,0,1,0,0,-0.14373033,51.52167167
Information and Communication,5819,17719,Pinnacle Banner,7420599,Published Goods,W1W 7LT,0,1,0,0,-0.142404836,51.51846735
Information and Communication,5819,19300,The Color Company,7420599,Published Goods,W1F 8QW,0,1,0,0,-0.137285574,51.51534669
Information and Communication,5819,19413,Mbg,7420599,Published Goods,W2 5ES,0,1,0,0,-0.191912217,51.52110238
Information and Communication,5819,19474,Prontaprint Ltd,7420599,Published Goods,W1U 6BH,0,1,0,0,-0.157011656,51.52010958
Information and Communication,5819,19510,Shepherds Bookbinders,7420599,Published Goods,SW1P 1JU,0,1,0,0,-0.137156891,51.4941223
Information and Communication,5819,19737,Onward Display,7420599,Published Goods,W1F 8TS,0,1,0,0,-0.135566435,51.51403345
Information and Communication,5819,19902,Coloursonic,7420599,Published Goods,W9 2HU,0,1,0,0,-0.197191833,51.52355764
Information and Communication,5819,20076,Soho Printstore,7420599,Published Goods,W1F 9QP,0,1,0,0,-0.136884232,51.51317312
Information and Communication,5819,20466,Flash Printing,7420599,Published Goods,WC2N 6NG,0,1,0,0,-0.124122349,51.50808676
Information and Communication,5819,21398,The London Printers,7420599,Published Goods,W1W 6YS,0,1,0,0,-0.139321188,51.52056768
Information and Communication,5819,21524,The Graphical Tree,7420599,Published Goods,W1W 8BA,0,1,0,0,-0.140526622,51.51716065
Information and Communication,5819,12101,One Production,2080122,Film and Video Services,W1F 8QW,0,1,0,0,-0.137285574,51.51534669
Information and Communication,5911,2594,One of Us Ltd,2080122,Film and Video Services,W1T 1JU,0,1,0,0,-0.13336368,51.51644438
Information and Communication,5911,3656,Random 42,2080122,Film and Video Services,W1U 2HH,0,1,0,0,-0.150773616,51.51824888
Information and Communication,5911,4564,Thin Man Films,2080122,Film and Video Services,W1D 4DQ,0,1,0,0,-0.13103662,51.51449191
