id,lon,lat
89195da4b53ffff,-0.185389548,51.51302207
89195da4a5bffff,-0.21076172,51.53039559
89195da4e23ffff,-0.17972189,51.53714606
89195da4963ffff,-0.150451448,51.50404407
89194ad1687ffff,-0.143228878,51.49377464
89195da486bffff,-0.175801412,51.52142293
89195da4bb7ffff,-0.15802954,51.50634305
89195da4b3bffff,-0.173539372,51.50296931
89194ad141bffff,-0.124765563,51.49463075
89195da4a43ffff,-0.207796011,51.52788303
89195da49c7ffff,-0.143822819,51.51495553
89195da494bffff,-0.159333938,51.51158471
89195da48cfffff,-0.169174168,51.53233483
89195da4853ffff,-0.173794415,51.53212012
89195da4b23ffff,-0.170577667,51.50045595
89195da4aa7ffff,-0.180421013,51.52120772
89195da4a2bffff,-0.195936536,51.51783214
89195da49afffff,-0.131983778,51.50490045
89195da4933ffff,-0.136600473,51.50468664
89194ad16d3ffff,-0.156725396,51.50110118
89195da483bffff,-0.161943495,51.52206743
89195da4b87ffff,-0.163952154,51.51136994
89195da4b0bffff,-0.179463789,51.50799582
89195da4a8fffff,-0.189312412,51.52874656
89195da4a13ffff,-0.19393309,51.52853096
89194ad3243ffff,-0.122393548,51.51329598
89195da491bffff,-0.145480178,51.51222786
89194ad16bbffff,-0.144885643,51.49104631
89195da4823ffff,-0.158981605,51.51955409
89194ad14cbffff,-0.130682347,51.49965883
89194ad144fffff,-0.13565401,51.491475
89195da4a77ffff,-0.1989009,51.52034496
89195da4903ffff,-0.142519941,51.50971419
89194ad16a3ffff,-0.141926544,51.48853243
89195da4887ffff,-0.152352321,51.53046449
89195da480bffff,-0.167868283,51.52709391
89195da4bd3ffff,-0.177457886,51.51869464
89195da4b57ffff,-0.1824265,51.51050898
89195da4e27ffff,-0.176757984,51.53463312
89195da4967ffff,-0.147491289,51.50153039
89194ad168bffff,-0.150804849,51.49607388
89195da486fffff,-0.172838593,51.51890978
89195da4bbbffff,-0.165608734,51.50864164
89195da4a47ffff,-0.204830638,51.52537041
89195da49cbffff,-0.151401661,51.517255
89195da494fffff,-0.156372772,51.50907123
89195da4857ffff,-0.170831181,51.52960705
89195da4ba3ffff,-0.162647286,51.50612822
89195da4aabffff,-0.188004536,51.52350527
89195da4a2fffff,-0.192972507,51.51531925
89195da49b3ffff,-0.128668445,51.51035544
89195da4937ffff,-0.133641242,51.50217277
89194ad16d7ffff,-0.153764955,51.49858757
89195da48bbffff,-0.154009844,51.52773708
89195da4b8bffff,-0.171532638,51.51366827
89194ad146bffff,-0.134352508,51.48623279
89195da4b0fffff,-0.176501412,51.5054826
89195da4a93ffff,-0.185999542,51.534203
89195da4a17ffff,-0.190968645,51.52601815
89195da499bffff,-0.13754738,51.51789683
89194ad3247ffff,-0.119434858,51.51078198
89195da48a3ffff,-0.151048211,51.52522368
89195da4827ffff,-0.156020051,51.51704068
89194ad14cfffff,-0.127723787,51.49714482
89195da4b73ffff,-0.181119751,51.50526701
89194ada493ffff,-0.19759223,51.51510321
89194ad1453ffff,-0.132339703,51.49693102
89195da4983ffff,-0.1345874,51.5153831
89195da4907ffff,-0.139560039,51.50720045
89194ad16a7ffff,-0.13896778,51.48601848
89195da488bffff,-0.159934119,51.53276368
89195da480fffff,-0.164905721,51.5245807
89195da4bd7ffff,-0.174495094,51.51618149
89195da4b5bffff,-0.190008814,51.51280629
89195da4e2bffff,-0.184342905,51.53693103
89195da496bffff,-0.155068736,51.5038295
89194ad168fffff,-0.147845078,51.49356013
89195da4873ffff,-0.169525188,51.52436599
89194ad1613ffff,-0.152461426,51.49334544
89195da4b43ffff,-0.187045457,51.51029326
89195da4a4bffff,-0.21241728,51.52766667
89195da49cfffff,-0.148440752,51.51474147
89194ad327bffff,-0.121092913,51.50805481
89195da4953ffff,-0.153058833,51.51452721
89195da48d7ffff,-0.16289676,51.53527687
89195da485bffff,-0.17841481,51.53190522
